,s_id,Station_name,Street,Neighbourhood,Area_loc,s_lat,s_lon,s_num_docks,Size_bucket
408,200054,"Jubilee Crescent, Cubitt Town",Jubilee Crescent,Cubitt Town,East,51.493381,-0.007542,53,200
409,22165,"Fisherman's Walk West, Canary Wharf",Fisherman's Walk West,Canary Wharf,East,51.50623,-0.02296,36,150
410,200020,"Shadwell Station, Shadwell",Shadwell Station,Shadwell,East,51.511088,-0.057159,35,150
411,200002,"Jubilee Street, Stepney",Jubilee Street,Stepney,East,51.515975,-0.053177,27,100
412,200021,"Hermitage Court, Wapping",Hermitage Court,Wapping,East,51.504719,-0.063531,16,100
413,200049,"St. Katharine's Way, Tower",St. Katharine's Way,Tower,East,51.505697,-0.070542,24,100
414,200045,"Garnet Street, Shadwell",Garnet Street,Shadwell,East,51.508447,-0.055167,24,100
415,200046,"Napier Avenue, Millwall",Napier Avenue,Millwall,East,51.487679,-0.021582,20,100
416,200031,"East Ferry Road, Cubitt Town",East Ferry Road,Cubitt Town,East,51.49447,-0.014409,17,100
417,200118,"Parkway, Camden Town",Parkway,Camden Town,North,51.538071,-0.144664,33,150
418,200016,"Castlehaven Road, Camden Town",Castlehaven Road,Camden Town,North,51.542138,-0.145393,29,100
419,200034,"Wapping Lane, Wapping",Wapping Lane,Wapping,East,51.504749,-0.057544,25,100
420,200014,"Gunmakers Lane, Old Ford",Gunmakers Lane,Old Ford,North,51.535179,-0.03338,17,100
421,200123,"Burdett Road, Mile End",Burdett Road,Mile End,East,51.516196,-0.029138,33,150
422,200013,"Aston Street, Stepney",Aston Street,Stepney,East,51.516,-0.038775,26,100
423,200105,"Bonny Street, Camden Town",Bonny Street,Camden Town,North,51.541603,-0.138853,45,150
424,200093,"Thurtle Road, Haggerston",Thurtle Road,Haggerston,North,51.534776,-0.071881,22,100
425,200082,"St. Mary & St. Michael Church, Stepney",St. Mary & St. Michael Church,Stepney,East,51.51417,-0.052099,25,100
426,200152,"Pitfield Street North,Hoxton","Pitfield Street North,Hoxton",,North,51.53558,-0.08249,28,100
427,200158,"Whiston Road, Haggerston",Whiston Road,Haggerston,North,51.534464,-0.076341,21,100
